0.90.9 3.01558 0.0330711
0.90.91 3.01543 0.0330893
0.90.92 3.01573 0.03316
0.90.93 3.01706 0.0334763
0.90.94 3.01584 0.0334754
0.90.95 3.01383 0.0325486
0.90.96 3.01542 0.0333846
0.90.97 3.01675 0.0334499
0.90.98 3.01722 0.0339714
0.90.99 3.01533 0.0330713
0.91 3.01533 0.0330713
0.910.9 3.01337 0.0265372
0.910.91 3.01279 0.0269944
0.910.92 3.01517 0.0268828
0.910.93 3.01245 0.0262374
0.910.94 3.01199 0.0266052
0.910.95 3.01148 0.0263018
0.910.96 3.01523 0.0271783
0.910.97 3.01314 0.0270536
0.910.98 3.01314 0.0270536
0.910.99 3.01246 0.0268337
0.911 3.01462 0.0273988
0.90.9 3.0168 0.0328642
0.90.91 3.0168 0.0328642
0.90.92 3.0168 0.0328642
0.90.93 3.01913 0.0330494
0.90.94 3.01913 0.0330494
0.90.95 3.01913 0.0330494
0.90.96 3.01913 0.0330494
0.90.97 3.01913 0.0330494
0.90.98 3.01913 0.0330494
0.90.99 3.01913 0.0330494
0.91 3.01913 0.0330494
0.910.9 3.00775 0.0254367
0.910.91 3.00775 0.0254367
0.910.92 3.02577 0.0292336
0.910.93 3.02577 0.0292336
0.910.94 3.02577 0.0292336
0.910.95 3.02577 0.0292336
0.910.96 3.02577 0.0292336
0.910.97 3.02577 0.0292336
0.910.98 3.02577 0.0292336
0.910.99 3.02577 0.0292336
0.911 3.02577 0.0292336
0.920.9 3.009 0.0221333
0.920.91 3.01236 0.0211492
0.920.92 3.01236 0.0211492
0.920.93 3.01236 0.0211492
0.920.94 3.01236 0.0211492
0.920.95 3.01236 0.0211492
0.920.96 3.01236 0.0211492
0.920.97 3.01236 0.0211492
0.920.98 3.01236 0.0211492
0.920.99 3.01236 0.0211492
0.921 3.01236 0.0211492
0.930.9 3.00935 0.0159851
0.930.91 3.01415 0.0169318
0.930.92 3.01415 0.0169318
0.930.93 3.01415 0.0169318
0.930.94 3.01415 0.0169318
0.930.95 3.01415 0.0169318
0.930.96 3.01415 0.0169318
0.930.97 3.01415 0.0169318
0.930.98 3.01415 0.0169318
0.930.99 3.01415 0.0169318
0.931 3.01415 0.0169318
0.940.9 3.00274 0.0110722
0.940.91 3.00274 0.0110722
0.940.92 3.00274 0.0110722
0.940.93 3.00274 0.0110722
0.940.94 3.00274 0.0110722
0.940.95 3.00274 0.0110722
0.940.96 3.00274 0.0110722
0.940.97 3.00274 0.0110722
0.940.98 3.00274 0.0110722
0.940.99 3.00274 0.0110722
0.941 3.00274 0.0110722
0.950.9 3.00128 0.00750618
0.950.91 3.00128 0.00750618
0.950.92 3.00128 0.00750618
0.950.93 3.00128 0.00750618
0.950.94 3.00128 0.00750618
0.950.95 3.00128 0.00750618
0.950.96 3.00128 0.00750618
0.950.97 3.00128 0.00750618
0.950.98 3.00128 0.00750618
0.950.99 3.00128 0.00750618
0.951 3.00058 0.00729241
0.960.9 3.00188 0.00508351
0.960.91 3.00188 0.00508351
0.960.92 3.00188 0.00508351
0.960.93 3.00188 0.00508351
0.960.94 3.00188 0.00508351
0.960.95 3.00188 0.00508351
0.960.96 3.00188 0.00508351
0.960.97 3.00188 0.00508351
0.960.98 3.00188 0.00508351
0.960.99 3.00188 0.00508351
0.961 3.00157 0.00488665
0.970.9 3.00104 0.00274219
0.970.91 3.00104 0.00274219
0.970.92 3.00104 0.00274219
0.970.93 3.00104 0.00274219
0.970.94 3.00104 0.00274219
0.970.95 3.00104 0.00274219
0.970.96 3.00104 0.00274219
0.970.97 3.00104 0.00274219
0.970.98 3.00104 0.00274219
0.970.99 3.00159 0.00286285
0.971 3.00159 0.00286285
0.980.9 2.9987 0.00116523
0.980.91 2.9987 0.00116523
0.980.92 2.9987 0.00116523
0.980.93 2.9987 0.00116523
0.980.94 2.9987 0.00116523
0.980.95 2.9987 0.00116523
0.980.96 2.9987 0.00116523
0.980.97 2.9987 0.00116523
0.980.98 2.9987 0.00116523
0.980.99 3.00093 0.00121723
0.981 3.00093 0.00121723
0.990.9 3.00011 0.000293788
0.990.91 3.00011 0.000293788
0.990.92 3.00011 0.000293788
0.990.93 3.00011 0.000293788
0.990.94 3.00011 0.000293788
0.990.95 3.00011 0.000293788
0.990.96 3.00011 0.000293788
0.990.97 3.00011 0.000293788
0.990.98 3.00059 0.000316478
0.990.99 3.00059 0.000316478
0.991 3.00059 0.000316478
10.9 3 0
10.91 3 0
10.92 3 0
10.93 3 0
10.94 3 0
10.95 3 0
10.96 3 0
10.97 3 0
10.98 3 0
10.99 3 0
11 3 0
