0 -112 -44
100 -105.98 -21.4653
200 -151.144 -22.5274
300 -191.641 -22.4718
400 -222.653 -25.1272
500 -249.916 -30.9381
600 -271.461 -32.9817
700 -288.428 -34.1341
800 -303.635 -33.5081
900 -318.3 -32.5305
1000 -331.544 -30.8092
1100 -343.495 -28.6485
1200 -354.924 -27.6586
1300 -366.158 -28.2537
1400 -376.534 -28.6724
1500 -386.153 -29.7708
1600 -396.002 -31.5615
1700 -405.38 -33.525
1800 -414.525 -35.1105
1900 -424.042 -36.363
2000 -433.237 -37.6792
2100 -441.801 -38.6911
2200 -450.079 -39.7637
2300 -457.759 -41.0656
2400 -465.296 -42.4173
2500 -472.281 -43.4842
2600 -479.099 -44.5928
2700 -485.5 -45.4513
2800 -491.444 -46.4406
2900 -496.979 -47.5284
3000 -502.145 -48.4912
3100 -507.098 -49.6285
3200 -511.875 -50.7354
3300 -516.345 -51.3463
3400 -520.452 -51.9735
3500 -524.323 -52.6432
3600 -527.98 -53.2086
3700 -531.496 -53.8433
3800 -535.004 -54.684
3900 -538.303 -55.453
4000 -541.345 -56.2699
4100 -544.238 -56.8578
4200 -546.904 -57.2059
4300 -549.441 -57.7596
4400 -551.79 -58.3708
4500 -554.189 -58.9745
4600 -556.529 -59.4201
4700 -558.816 -59.8107
4800 -561.006 -60.0916
4900 -563.043 -60.2767
5000 -564.946 -60.5311
5100 -566.705 -60.8418
5200 -568.422 -61.2532
5300 -570.108 -61.765
5400 -571.847 -62.4036
5500 -573.454 -63.0209
5600 -574.957 -63.7465
5700 -576.379 -64.5217
5800 -577.785 -65.3515
5900 -579.261 -66.2955
6000 -580.747 -67.1775
6100 -582.243 -68.1711
6200 -583.726 -69.2269
6300 -585.19 -70.3222
6400 -586.609 -71.4129
6500 -587.984 -72.5479
6600 -589.352 -73.7316
6700 -590.721 -74.9736
6800 -592.067 -76.1888
6900 -593.341 -77.3337
7000 -594.585 -78.3702
7100 -595.844 -79.3283
7200 -597.068 -80.2269
7300 -598.261 -81.2776
7400 -599.469 -82.374
7500 -600.596 -83.387
7600 -601.736 -84.4202
7700 -602.856 -85.4185
7800 -603.921 -86.3225
7900 -604.985 -87.1561
8000 -606.046 -88.039
8100 -607.107 -88.8796
8200 -608.107 -89.7781
8300 -609.081 -90.7903
8400 -610.068 -91.8726
8500 -611.033 -92.9921
8600 -612.032 -94.1093
8700 -612.88 -95.2286
8800 -613.68 -96.4138
8900 -614.515 -97.578
9000 -615.321 -98.7486
9100 -616.222 -100.019
9200 -617.132 -101.3
9300 -618.023 -102.579
9400 -618.895 -103.874
9500 -619.749 -105.167
9600 -620.585 -106.423
9700 -621.34 -107.647
9800 -622.115 -108.896
9900 -622.932 -110.186
10000 -623.778 -111.5
10100 -624.612 -112.848
10200 -625.429 -114.191
10300 -626.231 -115.462
10400 -627.017 -116.728
10500 -627.788 -117.954
10600 -628.545 -119.174
10700 -629.257 -120.361
10800 -629.949 -121.508
10900 -630.628 -122.631
11000 -631.295 -123.741
11100 -631.95 -124.869
11200 -632.593 -125.982
11300 -633.225 -127.04
11400 -633.846 -128.091
11500 -634.488 -129.135
11600 -635.147 -130.123
11700 -635.838 -131.102
11800 -636.517 -132.049
11900 -637.179 -132.973
12000 -637.87 -133.958
12100 -638.548 -134.924
12200 -639.216 -135.85
12300 -639.873 -136.769
12400 -640.519 -137.695
12500 -641.154 -138.606
12600 -641.78 -139.513
12700 -642.396 -140.365
12800 -643.002 -141.221
12900 -643.599 -142.141
13000 -644.187 -143.072
13100 -644.765 -143.993
13200 -645.335 -144.883
13300 -645.897 -145.783
13400 -646.419 -146.65
13500 -646.92 -147.521
13600 -647.357 -148.427
13700 -647.774 -149.306
13800 -648.224 -150.183
13900 -648.658 -151.062
14000 -649.104 -151.951
14100 -649.587 -152.842
14200 -650.083 -153.765
14300 -650.572 -154.674
14400 -651.054 -155.547
14500 -651.539 -156.446
14600 -652.035 -157.384
14700 -652.525 -158.308
14800 -653.007 -159.263
14900 -653.506 -160.239
15000 -654.015 -161.212
15100 -654.531 -162.169
15200 -655.041 -163.105
15300 -655.544 -164.001
15400 -656.041 -164.872
15500 -656.531 -165.738
15600 -657.014 -166.604
15700 -657.492 -167.465
15800 -657.963 -168.309
15900 -658.429 -169.139
16000 -658.889 -169.967
16100 -659.343 -170.848
16200 -659.791 -171.725
16300 -660.254 -172.598
16400 -660.725 -173.468
16500 -661.206 -174.324
16600 -661.68 -175.176
16700 -662.149 -176.012
16800 -662.613 -176.848
16900 -663.071 -177.69
17000 -663.529 -178.571
17100 -663.999 -179.474
17200 -664.464 -180.38
17300 -664.924 -181.293
17400 -665.379 -182.217
17500 -665.828 -183.135
17600 -666.272 -184.055
17700 -666.711 -184.985
17800 -667.143 -185.907
17900 -667.55 -186.791
18000 -667.952 -187.63
18100 -668.35 -188.479
18200 -668.76 -189.35
18300 -669.184 -190.215
18400 -669.612 -191.073
18500 -670.036 -191.934
18600 -670.471 -192.778
18700 -670.907 -193.634
18800 -671.339 -194.508
18900 -671.781 -195.404
19000 -672.232 -196.329
19100 -672.691 -197.249
19200 -673.144 -198.152
19300 -673.578 -199.041
19400 -674.023 -199.932
19500 -674.473 -200.811
19600 -674.929 -201.677
19700 -675.382 -202.535
19800 -675.829 -203.376
19900 -676.272 -204.208
20000 -676.711 -205.041
20100 -677.145 -205.869
20200 -677.575 -206.682
20300 -678.001 -207.495
20400 -678.418 -208.321
20500 -678.833 -209.157
20600 -679.246 -209.991
20700 -679.694 -210.827
20800 -680.137 -211.645
20900 -680.577 -212.463
